Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
FCSCMS-191 (Organizations - Client Profile - Search Clients),Chrome 96.0.4664.110,,,2021-12-20 15:15:19,2021-12-20 15:17:04,1m - 44.218s,PASSED
,,,,,,,
Test Cases/Sprint 5/FCSCMS-191/FCSCMS-1065,Chrome 96.0.4664.110,Admin user should be able to log in using valid credentials,,2021-12-20 15:15:20,2021-12-20 15:15:35,15.383s,PASSED
"openBrowser("""")",Chrome 96.0.4664.110,,,2021-12-20 15:15:20,2021-12-20 15:15:24,3.804s,PASSED
"navigateToUrl(""https://nexterus-tst.outsystemsenterprise.com/FusionCenter/Login"")",Chrome 96.0.4664.110,,,2021-12-20 15:15:24,2021-12-20 15:15:27,2.887s,PASSED
maximizeWindow(),Chrome 96.0.4664.110,,,2021-12-20 15:15:27,2021-12-20 15:15:27,0.228s,PASSED
delay(3),Chrome 96.0.4664.110,,,2021-12-20 15:15:27,2021-12-20 15:15:30,3.041s,PASSED
"setText(findTestObject(""Login/Username_Field""), ""admin"")",Chrome 96.0.4664.110,,,2021-12-20 15:15:30,2021-12-20 15:15:32,1.497s,PASSED
delay(1),Chrome 96.0.4664.110,,,2021-12-20 15:15:32,2021-12-20 15:15:33,1.002s,PASSED
"setText(findTestObject(""Login/Password_Field""), ""admin"")",Chrome 96.0.4664.110,,,2021-12-20 15:15:33,2021-12-20 15:15:34,0.880s,PASSED
delay(1),Chrome 96.0.4664.110,,,2021-12-20 15:15:34,2021-12-20 15:15:35,1.021s,PASSED
"click(findTestObject(""Login/BTN_Login""))",Chrome 96.0.4664.110,,,2021-12-20 15:15:35,2021-12-20 15:15:35,0.440s,PASSED
,,,,,,,
Test Cases/Sprint 5/FCSCMS-191/FCSCMS-1066,Chrome 96.0.4664.110,User should be able to click the Clients option from the left navigation panel,,2021-12-20 15:15:35,2021-12-20 15:15:44,8.786s,PASSED
delay(2),Chrome 96.0.4664.110,,,2021-12-20 15:15:35,2021-12-20 15:15:37,2.012s,PASSED
"click(findTestObject(""Admin/Sprint 5/a_Clients""))",Chrome 96.0.4664.110,,,2021-12-20 15:15:37,2021-12-20 15:15:41,3.510s,PASSED
"verifyElementPresent(findTestObject(""Admin/Sprint 5/SearchBar""), 0)",Chrome 96.0.4664.110,,,2021-12-20 15:15:41,2021-12-20 15:15:44,2.623s,PASSED
"verifyElementPresent(findTestObject(""Admin/Sprint 5/ClientListDashboard""), 0)",Chrome 96.0.4664.110,,,2021-12-20 15:15:44,2021-12-20 15:15:44,0.327s,PASSED
,,,,,,,
Test Cases/Sprint 5/FCSCMS-191/FCSCMS-1067,Chrome 96.0.4664.110,User should be able to put characters on Search bar,,2021-12-20 15:15:44,2021-12-20 15:15:47,3.352s,PASSED
"setText(findTestObject(""Admin/Sprint 5/SearchBar""), ""Smoke 1"")",Chrome 96.0.4664.110,,,2021-12-20 15:15:44,2021-12-20 15:15:45,0.801s,PASSED
"verifyElementNotHasAttribute(findTestObject(""Admin/Sprint 5/SearchBar""), ""Smoke 1"", 3)",Chrome 96.0.4664.110,,,2021-12-20 15:15:45,2021-12-20 15:15:45,0.337s,PASSED
delay(2),Chrome 96.0.4664.110,,,2021-12-20 15:15:45,2021-12-20 15:15:47,2.005s,PASSED
,,,,,,,
Test Cases/Sprint 5/FCSCMS-191/FCSCMS-1068,Chrome 96.0.4664.110,User should be able to search clients,,2021-12-20 15:15:47,2021-12-20 15:15:57,9.889s,PASSED
"click(findTestObject(""Admin/Sprint 5/SearchButton""))",Chrome 96.0.4664.110,,,2021-12-20 15:15:48,2021-12-20 15:15:48,0.418s,PASSED
delay(2),Chrome 96.0.4664.110,,,2021-12-20 15:15:48,2021-12-20 15:15:50,2.014s,PASSED
"verifyElementVisible(findTestObject(""Admin/Sprint 5/SearchResults""))",Chrome 96.0.4664.110,,,2021-12-20 15:15:50,2021-12-20 15:15:50,0.339s,PASSED
delay(1),Chrome 96.0.4664.110,,,2021-12-20 15:15:50,2021-12-20 15:15:51,1.012s,PASSED
