Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
FCSCMS-192 (Organizations - Client Profile - Client Listing),Chrome 96.0.4664.110,,,2021-12-20 18:46:32,2021-12-20 18:47:24,51.828s,PASSED
,,,,,,,
Test Cases/Sprint 5/FCSCMS-192/FCSCMS-1049,Chrome 96.0.4664.110,Admin user should be able to log in using valid credentials,,2021-12-20 18:46:32,2021-12-20 18:46:47,15.055s,PASSED
"openBrowser("""")",Chrome 96.0.4664.110,,,2021-12-20 18:46:32,2021-12-20 18:46:36,3.496s,PASSED
"navigateToUrl(""https://nexterus-tst.outsystemsenterprise.com/FusionCenter/Login"")",Chrome 96.0.4664.110,,,2021-12-20 18:46:36,2021-12-20 18:46:39,3.441s,PASSED
maximizeWindow(),Chrome 96.0.4664.110,,,2021-12-20 18:46:39,2021-12-20 18:46:40,0.205s,PASSED
delay(3),Chrome 96.0.4664.110,,,2021-12-20 18:46:40,2021-12-20 18:46:43,3.051s,PASSED
"setText(findTestObject(""Login/Username_Field""), ""admin"")",Chrome 96.0.4664.110,,,2021-12-20 18:46:43,2021-12-20 18:46:44,1.307s,PASSED
delay(1),Chrome 96.0.4664.110,,,2021-12-20 18:46:44,2021-12-20 18:46:45,1.016s,PASSED
"setText(findTestObject(""Login/Password_Field""), ""admin"")",Chrome 96.0.4664.110,,,2021-12-20 18:46:45,2021-12-20 18:46:46,0.774s,PASSED
delay(1),Chrome 96.0.4664.110,,,2021-12-20 18:46:46,2021-12-20 18:46:47,1.013s,PASSED
"click(findTestObject(""Login/BTN_Login""))",Chrome 96.0.4664.110,,,2021-12-20 18:46:47,2021-12-20 18:46:47,0.362s,PASSED
,,,,,,,
Test Cases/Sprint 5/FCSCMS-192/FCSCMS-1050,Chrome 96.0.4664.110,User should be able to click the Clients option from the left navigation panel,,2021-12-20 18:46:47,2021-12-20 18:46:56,8.784s,PASSED
delay(2),Chrome 96.0.4664.110,,,2021-12-20 18:46:47,2021-12-20 18:46:49,2.018s,PASSED
"click(findTestObject(""Admin/Sprint 5/a_Clients""))",Chrome 96.0.4664.110,,,2021-12-20 18:46:49,2021-12-20 18:46:52,2.772s,PASSED
delay(2),Chrome 96.0.4664.110,,,2021-12-20 18:46:52,2021-12-20 18:46:54,2.017s,PASSED
"verifyElementVisible(findTestObject(""Admin/Sprint 5/Clients/SearchBar_Clients""))",Chrome 96.0.4664.110,,,2021-12-20 18:46:54,2021-12-20 18:46:55,0.724s,PASSED
delay(1),Chrome 96.0.4664.110,,,2021-12-20 18:46:55,2021-12-20 18:46:56,1.006s,PASSED
,,,,,,,
