Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
FCSCMS-193 (Organizations - Client Profile - Add New Client),Chrome 96.0.4664.110,,,2021-12-20 20:12:15,2021-12-20 20:13:03,48.146s,PASSED
,,,,,,,
Test Cases/Sprint 5/FCSCMS-193/FCSCMS-1137,Chrome 96.0.4664.110,Admin user should be able to log in using valid credentials,,2021-12-20 20:12:16,2021-12-20 20:12:29,13.482s,PASSED
"openBrowser("""")",Chrome 96.0.4664.110,,,2021-12-20 20:12:16,2021-12-20 20:12:20,3.568s,PASSED
"navigateToUrl(""https://nexterus-tst.outsystemsenterprise.com/FusionCenter/Login"")",Chrome 96.0.4664.110,,,2021-12-20 20:12:20,2021-12-20 20:12:22,2.112s,PASSED
maximizeWindow(),Chrome 96.0.4664.110,,,2021-12-20 20:12:22,2021-12-20 20:12:22,0.196s,PASSED
delay(3),Chrome 96.0.4664.110,,,2021-12-20 20:12:22,2021-12-20 20:12:25,3.052s,PASSED
"setText(findTestObject(""Login/Username_Field""), ""admin"")",Chrome 96.0.4664.110,,,2021-12-20 20:12:25,2021-12-20 20:12:26,0.971s,PASSED
delay(1),Chrome 96.0.4664.110,,,2021-12-20 20:12:26,2021-12-20 20:12:27,1.003s,PASSED
"setText(findTestObject(""Login/Password_Field""), ""admin"")",Chrome 96.0.4664.110,,,2021-12-20 20:12:27,2021-12-20 20:12:28,0.731s,PASSED
delay(1),Chrome 96.0.4664.110,,,2021-12-20 20:12:28,2021-12-20 20:12:29,1.005s,PASSED
"click(findTestObject(""Login/BTN_Login""))",Chrome 96.0.4664.110,,,2021-12-20 20:12:29,2021-12-20 20:12:29,0.408s,PASSED
,,,,,,,
Test Cases/Sprint 5/FCSCMS-193/FCSCMS-1138,Chrome 96.0.4664.110,User should be able to click the Clients option from the left navigation panel,,2021-12-20 20:12:29,2021-12-20 20:12:38,8.366s,PASSED
delay(2),Chrome 96.0.4664.110,,,2021-12-20 20:12:29,2021-12-20 20:12:32,2.015s,PASSED
"click(findTestObject(""Admin/Sprint 5/a_Clients""))",Chrome 96.0.4664.110,,,2021-12-20 20:12:32,2021-12-20 20:12:34,2.623s,PASSED
delay(2),Chrome 96.0.4664.110,,,2021-12-20 20:12:34,2021-12-20 20:12:36,2.007s,PASSED
