Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestSuiteSite Sample,Chrome 96.0.4664.110,,,2021-12-23 05:37:38,2021-12-23 05:39:08,1m - 30.177s,PASSED
,,,,,,,
Test Cases/Sprint 5/FCSCMS-193/FCSCMS-1150-S5 (View or edit details of an existing sites on the sites tab),Chrome 96.0.4664.110,The user can vew or edit details of an existing sites on the 'sites' tab,,2021-12-23 05:37:39,2021-12-23 05:38:26,47.335s,PASSED
"openBrowser("""")",Chrome 96.0.4664.110,,,2021-12-23 05:37:40,2021-12-23 05:37:45,5.379s,PASSED
"navigateToUrl(""https://nexterus-tst.outsystemsenterprise.com/FusionCenter/Login"")",Chrome 96.0.4664.110,,,2021-12-23 05:37:45,2021-12-23 05:37:49,3.418s,PASSED
maximizeWindow(),Chrome 96.0.4664.110,,,2021-12-23 05:37:49,2021-12-23 05:37:49,0.234s,PASSED
delay(3),Chrome 96.0.4664.110,,,2021-12-23 05:37:49,2021-12-23 05:37:52,3.044s,PASSED
"setText(findTestObject(""Login/Username_Field""), ""admin"")",Chrome 96.0.4664.110,,,2021-12-23 05:37:52,2021-12-23 05:37:54,2.664s,PASSED
delay(1),Chrome 96.0.4664.110,,,2021-12-23 05:37:54,2021-12-23 05:37:55,1.007s,PASSED
"setText(findTestObject(""Login/Password_Field""), ""admin"")",Chrome 96.0.4664.110,,,2021-12-23 05:37:55,2021-12-23 05:37:56,0.889s,PASSED
delay(1),Chrome 96.0.4664.110,,,2021-12-23 05:37:56,2021-12-23 05:37:57,1.014s,PASSED
"click(findTestObject(""Login/BTN_Login""))",Chrome 96.0.4664.110,,,2021-12-23 05:37:57,2021-12-23 05:37:58,0.479s,PASSED
delay(2),Chrome 96.0.4664.110,,,2021-12-23 05:37:58,2021-12-23 05:38:00,2.018s,PASSED
"click(findTestObject(""Admin/Sprint 5/a_Clients""))",Chrome 96.0.4664.110,,,2021-12-23 05:38:00,2021-12-23 05:38:04,4.018s,PASSED
delay(1),Chrome 96.0.4664.110,,,2021-12-23 05:38:04,2021-12-23 05:38:05,1.014s,PASSED
"setText(findTestObject(""Admin/Sprint 5/Clients/SearchBar_Clients""), ""Smoke Test 3"")",Chrome 96.0.4664.110,,,2021-12-23 05:38:05,2021-12-23 05:38:08,2.777s,PASSED
delay(1),Chrome 96.0.4664.110,,,2021-12-23 05:38:08,2021-12-23 05:38:09,1.008s,PASSED
"click(findTestObject(""Admin/Sprint 5/Clients/Sites/Site Edit Elements/SearchButton(Clients)""))",Chrome 96.0.4664.110,,,2021-12-23 05:38:09,2021-12-23 05:38:09,0.561s,PASSED
delay(2),Chrome 96.0.4664.110,,,2021-12-23 05:38:09,2021-12-23 05:38:11,2.013s,PASSED
"click(findTestObject(""Admin/Sprint 5/Clients/Sites/Site Edit Elements/EditClient""))",Chrome 96.0.4664.110,,,2021-12-23 05:38:11,2021-12-23 05:38:12,0.404s,PASSED
delay(2),Chrome 96.0.4664.110,,,2021-12-23 05:38:12,2021-12-23 05:38:14,2.015s,PASSED
"click(findTestObject(""Admin/Sprint 5/Clients/Sites/div_Sites""))",Chrome 96.0.4664.110,,,2021-12-23 05:38:14,2021-12-23 05:38:16,2.083s,PASSED
delay(1),Chrome 96.0.4664.110,,,2021-12-23 05:38:16,2021-12-23 05:38:17,1.009s,PASSED
"click(findTestObject(""Admin/Sprint 5/Clients/Sites/Site Edit Elements/EditSiteButton""))",Chrome 96.0.4664.110,,,2021-12-23 05:38:17,2021-12-23 05:38:17,0.473s,PASSED
delay(2),Chrome 96.0.4664.110,,,2021-12-23 05:38:17,2021-12-23 05:38:19,2.010s,PASSED
"clearText(findTestObject(""Admin/Sprint 5/Clients/Sites/SiteCode""))",Chrome 96.0.4664.110,,,2021-12-23 05:38:19,2021-12-23 05:38:20,0.378s,PASSED
"setText(findTestObject(""Admin/Sprint 5/Clients/Sites/SiteCode""), ""TestSite"")",Chrome 96.0.4664.110,,,2021-12-23 05:38:20,2021-12-23 05:38:20,0.744s,PASSED
delay(1),Chrome 96.0.4664.110,,,2021-12-23 05:38:20,2021-12-23 05:38:21,1.016s,PASSED
"clearText(findTestObject(""Admin/Sprint 5/Clients/Sites/SiteName""))",Chrome 96.0.4664.110,,,2021-12-23 05:38:21,2021-12-23 05:38:22,0.413s,PASSED
"setText(findTestObject(""Admin/Sprint 5/Clients/Sites/SiteName""), ""SiteforAutomation"")",Chrome 96.0.4664.110,,,2021-12-23 05:38:22,2021-12-23 05:38:23,0.756s,PASSED
delay(1),Chrome 96.0.4664.110,,,2021-12-23 05:38:23,2021-12-23 05:38:24,1.018s,PASSED
"clearText(findTestObject(""Admin/Sprint 5/Clients/Sites/Description""), STOP_ON_FAILURE)",Chrome 96.0.4664.110,,,2021-12-23 05:38:24,2021-12-23 05:38:24,0.510s,PASSED
"setText(findTestObject(""Admin/Sprint 5/Clients/Sites/Description""), ""Test site for automation"")",Chrome 96.0.4664.110,,,2021-12-23 05:38:24,2021-12-23 05:38:25,0.785s,PASSED
delay(1),Chrome 96.0.4664.110,,,2021-12-23 05:38:25,2021-12-23 05:38:26,1.017s,PASSED
,,,,,,,
Test Cases/Sprint 5/FCSCMS-193/FCSCMS-1151-S5 (Associate an already exixting contact to the site),Chrome 96.0.4664.110,The user can Associate an already exixting contact to the site,,2021-12-23 05:38:26,2021-12-23 05:38:30,3.616s,PASSED
"selectOptionByLabel(findTestObject(""Admin/Sprint 5/Clients/Sites/Site Edit Elements/SelectContactDropdown""), ""ForEmail"", false)",Chrome 96.0.4664.110,,,2021-12-23 05:38:26,2021-12-23 05:38:27,0.848s,PASSED
delay(1),Chrome 96.0.4664.110,,,2021-12-23 05:38:27,2021-12-23 05:38:28,1.012s,PASSED
"click(findTestObject(""Admin/Sprint 5/Clients/Sites/Site Edit Elements/button_Add(Sites)""))",Chrome 96.0.4664.110,,,2021-12-23 05:38:28,2021-12-23 05:38:29,0.410s,PASSED
delay(1),Chrome 96.0.4664.110,,,2021-12-23 05:38:29,2021-12-23 05:38:30,1.017s,PASSED
,,,,,,,
Test Cases/Sprint 5/FCSCMS-193/FCSCMS-1152-S5 (Add a new contact to be assosciated with the site),Chrome 96.0.4664.110,The user can add a new contact to be assosciated with the site,,2021-12-23 05:38:30,2021-12-23 05:38:32,2.403s,PASSED
delay(2),Chrome 96.0.4664.110,,,2021-12-23 05:38:30,2021-12-23 05:38:32,2.013s,PASSED
,,,,,,,
Test Cases/Sprint 5/FCSCMS-193/FCSCMS-1153-S5 (The user can click the Save button for the Sites tab),Chrome 96.0.4664.110,The user can click the Save button for the 'Sites' tab,,2021-12-23 05:38:32,2021-12-23 05:38:35,2.643s,PASSED
"click(findTestObject(""Admin/Sprint 5/Clients/Sites/Site Edit Elements/button_Save(Sites)""))",Chrome 96.0.4664.110,,,2021-12-23 05:38:32,2021-12-23 05:38:33,0.449s,PASSED
delay(1),Chrome 96.0.4664.110,,,2021-12-23 05:38:33,2021-12-23 05:38:34,1.017s,PASSED
"verifyElementVisible(findTestObject(""Admin/Sprint 5/Clients/Sites/Site Edit Elements/button_Yes(Confirmation)""))",Chrome 96.0.4664.110,,,2021-12-23 05:38:34,2021-12-23 05:38:34,0.407s,PASSED
