Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"FCSCMS-142 (User, Role and Access Management - Apply the privileges as defined (System Story))",Chrome 97.0.4692.71,,,2022-01-20 14:53:38,2022-01-20 14:54:37,59.475s,PASSED
,,,,,,,
Test Cases/Sprint 6/FCSCMS-142/FCSCMS-918-S6 (Admin user is able to log in using valid credentials),Chrome 97.0.4692.71,Admin user is able to log in using valid credentials,,2022-01-20 14:53:38,2022-01-20 14:53:54,16.322s,PASSED
"openBrowser("""")",Chrome 97.0.4692.71,,,2022-01-20 14:53:39,2022-01-20 14:53:43,4.512s,PASSED
"navigateToUrl(""https://nexterus-tst.outsystemsenterprise.com/FusionCenter/Login"")",Chrome 97.0.4692.71,,,2022-01-20 14:53:43,2022-01-20 14:53:46,2.563s,PASSED
maximizeWindow(),Chrome 97.0.4692.71,,,2022-01-20 14:53:46,2022-01-20 14:53:46,0.236s,PASSED
delay(3),Chrome 97.0.4692.71,,,2022-01-20 14:53:46,2022-01-20 14:53:49,3.034s,PASSED
"setText(findTestObject(""Login/Username_Field""), ""admin"")",Chrome 97.0.4692.71,,,2022-01-20 14:53:49,2022-01-20 14:53:51,2.225s,PASSED
delay(1),Chrome 97.0.4692.71,,,2022-01-20 14:53:51,2022-01-20 14:53:52,1.014s,PASSED
"setText(findTestObject(""Login/Password_Field""), ""admin"")",Chrome 97.0.4692.71,,,2022-01-20 14:53:52,2022-01-20 14:53:53,0.757s,PASSED
delay(1),Chrome 97.0.4692.71,,,2022-01-20 14:53:53,2022-01-20 14:53:54,1.011s,PASSED
"click(findTestObject(""Login/BTN_Login""))",Chrome 97.0.4692.71,,,2022-01-20 14:53:54,2022-01-20 14:53:54,0.399s,PASSED
,,,,,,,
Test Cases/Sprint 6/FCSCMS-142/FCSCMS-919-S6 (User is able to click User and Account Management option from the left navigation panel),Chrome 97.0.4692.71,User is able to click User and Account Management option from the left navigation panel,,2022-01-20 14:53:54,2022-01-20 14:54:02,7.698s,PASSED
"click(findTestObject(""Admin/Sprint 6/FCSCMS-198/span_UserAccountManagement""))",Chrome 97.0.4692.71,,,2022-01-20 14:53:55,2022-01-20 14:54:00,5.340s,PASSED
delay(2),Chrome 97.0.4692.71,,,2022-01-20 14:54:00,2022-01-20 14:54:02,2.016s,PASSED
,,,,,,,
Test Cases/Sprint 6/FCSCMS-142/FCSCMS-920-S6 (Admin user is able to click Add new user button),Chrome 97.0.4692.71,Admin user is able to click Add new user button,,2022-01-20 14:54:02,2022-01-20 14:54:07,5.302s,PASSED
"click(findTestObject(""Admin/Sprint 6/FCSCMS-198/AddNewUser/button_Add New User""))",Chrome 97.0.4692.71,,,2022-01-20 14:54:02,2022-01-20 14:54:04,1.609s,PASSED
delay(2),Chrome 97.0.4692.71,,,2022-01-20 14:54:04,2022-01-20 14:54:06,2.006s,PASSED
