Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
FCSCMS-199 (Organizations - Client Profile - Contacts - Add New Contact),Chrome 97.0.4692.99,,,2022-01-27 13:24:26,2022-01-27 13:27:50,3m - 23.817s,FAILED
,,,,,,,
Test Cases/Sprint 5/FCSCMS-199/FCSCMS-1240-S5 (Admin user should be able to log in using valid credentials),Chrome 97.0.4692.99,Admin user should be able to log in using valid credentials,,2022-01-27 13:24:28,2022-01-27 13:24:54,26.701s,PASSED
"openBrowser("""")",Chrome 97.0.4692.99,,,2022-01-27 13:24:30,2022-01-27 13:24:43,12.164s,PASSED
"navigateToUrl(""https://nexterus-tst.outsystemsenterprise.com/FusionCenter/Login"")",Chrome 97.0.4692.99,,,2022-01-27 13:24:43,2022-01-27 13:24:45,2.676s,PASSED
maximizeWindow(),Chrome 97.0.4692.99,,,2022-01-27 13:24:45,2022-01-27 13:24:45,0.240s,PASSED
delay(3),Chrome 97.0.4692.99,,,2022-01-27 13:24:45,2022-01-27 13:24:48,3.037s,PASSED
"setText(findTestObject(""Login/Username_Field""), ""admin"")",Chrome 97.0.4692.99,,,2022-01-27 13:24:48,2022-01-27 13:24:51,2.675s,PASSED
delay(1),Chrome 97.0.4692.99,,,2022-01-27 13:24:51,2022-01-27 13:24:52,1.007s,PASSED
"setText(findTestObject(""Login/Password_Field""), ""admin"")",Chrome 97.0.4692.99,,,2022-01-27 13:24:52,2022-01-27 13:24:53,0.864s,PASSED
delay(1),Chrome 97.0.4692.99,,,2022-01-27 13:24:53,2022-01-27 13:24:54,1.015s,PASSED
"click(findTestObject(""Login/BTN_Login""))",Chrome 97.0.4692.99,,,2022-01-27 13:24:54,2022-01-27 13:24:54,0.435s,PASSED
,,,,,,,
Test Cases/Sprint 5/FCSCMS-199/FCSCMS-1241-S5 (User should be able to click the Clients option from the left navigation panel),Chrome 97.0.4692.99,User should be able to click the Clients option from the left navigation panel,,2022-01-27 13:24:54,2022-01-27 13:25:04,9.279s,PASSED
delay(2),Chrome 97.0.4692.99,,,2022-01-27 13:24:55,2022-01-27 13:24:57,2.024s,PASSED
"click(findTestObject(""Admin/Sprint 5/a_Clients""))",Chrome 97.0.4692.99,,,2022-01-27 13:24:57,2022-01-27 13:25:00,2.626s,PASSED
delay(2),Chrome 97.0.4692.99,,,2022-01-27 13:25:00,2022-01-27 13:25:02,2.006s,PASSED
"verifyElementVisible(findTestObject(""Admin/Sprint 5/Clients/SearchBar_Clients""))",Chrome 97.0.4692.99,,,2022-01-27 13:25:02,2022-01-27 13:25:03,1.126s,PASSED
delay(1),Chrome 97.0.4692.99,,,2022-01-27 13:25:03,2022-01-27 13:25:04,1.017s,PASSED
,,,,,,,
Test Cases/Sprint 5/FCSCMS-199/FCSCMS-1242-S5 (User should be able to search for the clients name in the quick search tab),Chrome 97.0.4692.99,User should be able to search for the client's name in the quick search tab,,2022-01-27 13:25:04,2022-01-27 13:25:08,4.577s,PASSED
