Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
FCSCMS-954 (Quotes and Shipments - Quotes - Create New Quote - LTL - Items to be Shipped),Chrome 98.0.4758.102,Quotes & Shipments: Quotes - Create New Quote - LTL - Items to be Shipped,,2022-02-22 17:59:19,2022-02-22 18:00:44,1m - 25.362s,PASSED
,,,,,,,
Test Cases/Sprint 7/FCSCMS- 954/FCSCMS-2059-S7 (User should be able to Log in using Admin-Valid credentials),Chrome 98.0.4758.102,User should be able to Log in using Admin/Valid credentials,,2022-02-22 17:59:20,2022-02-22 17:59:39,19.429s,PASSED
"openBrowser("""")",Chrome 98.0.4758.102,,,2022-02-22 17:59:21,2022-02-22 17:59:27,6.745s,PASSED
"navigateToUrl(""https://nexterus-tst.outsystemsenterprise.com/FusionCenter/Login"")",Chrome 98.0.4758.102,,,2022-02-22 17:59:27,2022-02-22 17:59:30,2.723s,PASSED
maximizeWindow(),Chrome 98.0.4758.102,,,2022-02-22 17:59:30,2022-02-22 17:59:30,0.221s,PASSED
delay(3),Chrome 98.0.4758.102,,,2022-02-22 17:59:30,2022-02-22 17:59:33,3.073s,PASSED
"setText(findTestObject(""Login/Username_Field""), ""admin"")",Chrome 98.0.4758.102,,,2022-02-22 17:59:33,2022-02-22 17:59:35,1.773s,PASSED
delay(1),Chrome 98.0.4758.102,,,2022-02-22 17:59:35,2022-02-22 17:59:36,1.008s,PASSED
"setText(findTestObject(""Login/Password_Field""), ""admin"")",Chrome 98.0.4758.102,,,2022-02-22 17:59:36,2022-02-22 17:59:37,1.061s,PASSED
delay(1),Chrome 98.0.4758.102,,,2022-02-22 17:59:37,2022-02-22 17:59:38,1.019s,PASSED
"click(findTestObject(""Login/BTN_Login""))",Chrome 98.0.4758.102,,,2022-02-22 17:59:38,2022-02-22 17:59:39,0.608s,PASSED
,,,,,,,
Test Cases/Sprint 7/FCSCMS- 954/FCSCMS-2060-S7 (User should be able to clicks Qoutes option from the left navigation panel),Chrome 98.0.4758.102,User should be able to clicks Qoutes option from the left navigation panel,,2022-02-22 17:59:39,2022-02-22 17:59:47,8.416s,PASSED
"click(findTestObject(""Admin/Sprint 7/FCSCMS-954/Qoutes/a_Quotes""))",Chrome 98.0.4758.102,,,2022-02-22 17:59:40,2022-02-22 17:59:45,5.696s,PASSED
delay(2),Chrome 98.0.4758.102,,,2022-02-22 17:59:45,2022-02-22 17:59:47,2.005s,PASSED
,,,,,,,
Test Cases/Sprint 7/FCSCMS- 954/FCSCMS-2061-S7 (User should be able to click New Qoute button),Chrome 98.0.4758.102,User should be able to click New Qoute button,,2022-02-22 17:59:47,2022-02-22 17:59:56,8.455s,PASSED
"click(findTestObject(""Admin/Sprint 7/FCSCMS-954/Qoutes/button_Add New Quote""))",Chrome 98.0.4758.102,,,2022-02-22 17:59:48,2022-02-22 17:59:51,2.844s,PASSED
delay(5),Chrome 98.0.4758.102,,,2022-02-22 17:59:51,2022-02-22 17:59:56,5.018s,PASSED
,,,,,,,
Test Cases/Sprint 7/FCSCMS- 954/FCSCMS-2062-S7 (User shoule be able to select Shipment Type - Less than Truckload),Chrome 98.0.4758.102,User shoule be able to select Shipment Type = Less than Truckload,,2022-02-22 17:59:56,2022-02-22 18:00:04,7.677s,PASSED
"waitForElementVisible(findTestObject(""Admin/Sprint 7/FCSCMS-954/Qoutes/AddNewQoute/LTL_shipment""), 5)",Chrome 98.0.4758.102,,,2022-02-22 17:59:57,2022-02-22 18:00:01,4.190s,PASSED
"click(findTestObject(""Admin/Sprint 7/FCSCMS-954/Qoutes/AddNewQoute/LTL_shipment""))",Chrome 98.0.4758.102,,,2022-02-22 18:00:01,2022-02-22 18:00:02,0.499s,PASSED
delay(2),Chrome 98.0.4758.102,,,2022-02-22 18:00:02,2022-02-22 18:00:04,2.016s,PASSED
,,,,,,,
Test Cases/Sprint 7/FCSCMS- 954/FCSCMS-2063-S7 (User should be able to select Freight Direction),Chrome 98.0.4758.102,User should be able to select Freight Direction,,2022-02-22 18:00:04,2022-02-22 18:00:06,2.954s,PASSED
"click(findTestObject(""Admin/Sprint 7/FCSCMS-954/Qoutes/AddNewQoute/Inbound_Freight""))",Chrome 98.0.4758.102,,,2022-02-22 18:00:04,2022-02-22 18:00:04,0.443s,PASSED
delay(2),Chrome 98.0.4758.102,,,2022-02-22 18:00:04,2022-02-22 18:00:06,2.007s,PASSED
,,,,,,,
Test Cases/Sprint 7/FCSCMS- 954/FCSCMS-2064-S7 (User should be able to select Site),Chrome 98.0.4758.102,User should be able to select Site,,2022-02-22 18:00:06,2022-02-22 18:00:10,3.584s,PASSED
"selectOptionByLabel(findTestObject(""Admin/Sprint 7/FCSCMS-954/Qoutes/AddNewQoute/Site""), ""255874-Automation Test Site"", false)",Chrome 98.0.4758.102,,,2022-02-22 18:00:07,2022-02-22 18:00:08,1.080s,PASSED
delay(2),Chrome 98.0.4758.102,,,2022-02-22 18:00:08,2022-02-22 18:00:10,2.006s,PASSED
,,,,,,,
Test Cases/Sprint 7/FCSCMS- 954/FCSCMS-2065-S7 (User should be able to fill Origin And Destination Location form and Continue),Chrome 98.0.4758.102,User should be able to fill Origin And Destination Location form and Continue,,2022-02-22 18:00:10,2022-02-22 18:00:44,34.102s,PASSED
"setText(findTestObject(""Admin/Sprint 7/FCSCMS-954/OriginLocation/OriginAddressName""), ""AT Test Address"")",Chrome 98.0.4758.102,,,2022-02-22 18:00:11,2022-02-22 18:00:13,2.748s,PASSED
delay(1),Chrome 98.0.4758.102,,,2022-02-22 18:00:13,2022-02-22 18:00:14,1.009s,PASSED
"setText(findTestObject(""Admin/Sprint 7/FCSCMS-954/OriginLocation/OriginAddressLine1""), ""AT Line 1"")",Chrome 98.0.4758.102,,,2022-02-22 18:00:14,2022-02-22 18:00:15,0.838s,PASSED
delay(1),Chrome 98.0.4758.102,,,2022-02-22 18:00:15,2022-02-22 18:00:16,1.013s,PASSED
"setText(findTestObject(""Admin/Sprint 7/FCSCMS-954/OriginLocation/OriginAddressLine2""), ""AT Line 2"")",Chrome 98.0.4758.102,,,2022-02-22 18:00:16,2022-02-22 18:00:17,0.822s,PASSED
delay(1),Chrome 98.0.4758.102,,,2022-02-22 18:00:17,2022-02-22 18:00:18,1.007s,PASSED
"click(findTestObject(""Admin/Sprint 7/FCSCMS-954/OriginLocation/ZipCode""), STOP_ON_FAILURE)",Chrome 98.0.4758.102,,,2022-02-22 18:00:18,2022-02-22 18:00:19,0.553s,PASSED
delay(1),Chrome 98.0.4758.102,,,2022-02-22 18:00:19,2022-02-22 18:00:20,1.007s,PASSED
"click(findTestObject(""Admin/Sprint 7/FCSCMS-954/OriginLocation/div_35007""))",Chrome 98.0.4758.102,,,2022-02-22 18:00:20,2022-02-22 18:00:20,0.542s,PASSED
delay(2),Chrome 98.0.4758.102,,,2022-02-22 18:00:20,2022-02-22 18:00:22,2.012s,PASSED
"setText(findTestObject(""Admin/Sprint 7/FCSCMS-954/OriginLocation/OriginContactName""), ""Automation Test Contact"")",Chrome 98.0.4758.102,,,2022-02-22 18:00:22,2022-02-22 18:00:23,0.999s,PASSED
delay(1),Chrome 98.0.4758.102,,,2022-02-22 18:00:23,2022-02-22 18:00:24,1.017s,PASSED
"setText(findTestObject(""Admin/Sprint 7/FCSCMS-954/OriginLocation/ContactPhone_Origin""), ""1111555555"")",Chrome 98.0.4758.102,,,2022-02-22 18:00:24,2022-02-22 18:00:25,0.839s,PASSED
delay(1),Chrome 98.0.4758.102,,,2022-02-22 18:00:25,2022-02-22 18:00:26,1.015s,PASSED
"setText(findTestObject(""Admin/Sprint 7/FCSCMS-954/OriginLocation/ContactEmail_Origin""), ""automationtest@gmail.com"")",Chrome 98.0.4758.102,,,2022-02-22 18:00:26,2022-02-22 18:00:27,1.004s,PASSED
delay(2),Chrome 98.0.4758.102,,,2022-02-22 18:00:27,2022-02-22 18:00:29,2.008s,PASSED
"setText(findTestObject(""Admin/Sprint 7/FCSCMS-954/OriginLocation/Mobile_Origin""), ""1111555555"")",Chrome 98.0.4758.102,,,2022-02-22 18:00:29,2022-02-22 18:00:30,0.940s,PASSED
delay(3),Chrome 98.0.4758.102,,,2022-02-22 18:00:30,2022-02-22 18:00:33,3.016s,PASSED
"setText(findTestObject(""Admin/Sprint 7/FCSCMS-954/DestinationLocation/Contacts Name""), ""Automation Test Contact"")",Chrome 98.0.4758.102,,,2022-02-22 18:00:33,2022-02-22 18:00:34,0.855s,PASSED
delay(2),Chrome 98.0.4758.102,,,2022-02-22 18:00:34,2022-02-22 18:00:36,2.013s,PASSED
"setText(findTestObject(""Admin/Sprint 7/FCSCMS-954/DestinationLocation/ContactPhone_Destination""), ""2222555555"")",Chrome 98.0.4758.102,,,2022-02-22 18:00:36,2022-02-22 18:00:37,0.805s,PASSED
delay(1),Chrome 98.0.4758.102,,,2022-02-22 18:00:37,2022-02-22 18:00:38,1.016s,PASSED
"setText(findTestObject(""Admin/Sprint 7/FCSCMS-954/DestinationLocation/Contact Email""), ""automationtest2@gmail.com"")",Chrome 98.0.4758.102,,,2022-02-22 18:00:38,2022-02-22 18:00:39,0.939s,PASSED
delay(1),Chrome 98.0.4758.102,,,2022-02-22 18:00:39,2022-02-22 18:00:40,1.018s,PASSED
"setText(findTestObject(""Admin/Sprint 7/FCSCMS-954/DestinationLocation/Mobile_Destination""), ""2222555555"")",Chrome 98.0.4758.102,,,2022-02-22 18:00:40,2022-02-22 18:00:41,1.063s,PASSED
delay(1),Chrome 98.0.4758.102,,,2022-02-22 18:00:41,2022-02-22 18:00:42,1.010s,PASSED
"click(findTestObject(""Admin/Sprint 7/FCSCMS-954/DestinationLocation/button_Continue""))",Chrome 98.0.4758.102,,,2022-02-22 18:00:42,2022-02-22 18:00:42,0.530s,PASSED
delay(2),Chrome 98.0.4758.102,,,2022-02-22 18:00:42,2022-02-22 18:00:44,2.005s,PASSED
