Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
FCSCMS-467 (Organizations - Client Profile - Products - Add Product),Chrome 99.0.4844.82,Organizations: Client Profile - Products - Add Product,,2022-03-24 15:42:29,2022-03-24 15:44:09,1m - 39.412s,PASSED
,,,,,,,
Test Cases/Sprint 7/FCSCMS- 467/FCSCMS-1764-S7 (User should be able to Log in using Admin - Valid credentials),Chrome 99.0.4844.82,User should be able to Log in using Admin/Valid credentials,,2022-03-24 15:42:30,2022-03-24 15:42:45,14.918s,PASSED
"openBrowser("""")",Chrome 99.0.4844.82,,,2022-03-24 15:42:31,2022-03-24 15:42:35,3.964s,PASSED
"navigateToUrl(""https://nexterus-tst.outsystemsenterprise.com/FusionCenter/Login"")",Chrome 99.0.4844.82,,,2022-03-24 15:42:35,2022-03-24 15:42:37,2.707s,PASSED
maximizeWindow(),Chrome 99.0.4844.82,,,2022-03-24 15:42:37,2022-03-24 15:42:38,0.223s,PASSED
delay(3),Chrome 99.0.4844.82,,,2022-03-24 15:42:38,2022-03-24 15:42:41,3.077s,PASSED
"setText(findTestObject(""Login/Username_Field""), ""admin"")",Chrome 99.0.4844.82,,,2022-03-24 15:42:41,2022-03-24 15:42:42,0.986s,PASSED
delay(1),Chrome 99.0.4844.82,,,2022-03-24 15:42:42,2022-03-24 15:42:43,1.010s,PASSED
"setText(findTestObject(""Login/Password_Field""), ""admin"")",Chrome 99.0.4844.82,,,2022-03-24 15:42:43,2022-03-24 15:42:43,0.804s,PASSED
delay(1),Chrome 99.0.4844.82,,,2022-03-24 15:42:43,2022-03-24 15:42:45,1.013s,PASSED
"click(findTestObject(""Login/BTN_Login""))",Chrome 99.0.4844.82,,,2022-03-24 15:42:45,2022-03-24 15:42:45,0.449s,PASSED
,,,,,,,
Test Cases/Sprint 7/FCSCMS- 467/FCSCMS-1765-S7 (User should be able to clicks Clients option from the left navigation panel),Chrome 99.0.4844.82,User should be able to clicks Clients option from the left navigation panel,,2022-03-24 15:42:45,2022-03-24 15:42:54,8.838s,PASSED
delay(2),Chrome 99.0.4844.82,,,2022-03-24 15:42:46,2022-03-24 15:42:48,2.012s,PASSED
"click(findTestObject(""Admin/Sprint 5/a_Clients""))",Chrome 99.0.4844.82,,,2022-03-24 15:42:48,2022-03-24 15:42:50,2.690s,PASSED
delay(2),Chrome 99.0.4844.82,,,2022-03-24 15:42:50,2022-03-24 15:42:52,2.013s,PASSED
