Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
FCSCMS-468 (Organizations-Client Profile - Products - View-Edit Product),Chrome 99.0.4844.82,Organizations: Client Profile - Products - View/Edit Product,,2022-03-24 16:02:21,2022-03-24 16:03:38,1m - 16.432s,PASSED
,,,,,,,
Test Cases/Sprint 7/FCSCMS- 468/FCSCMS-1787-S7 (User should be able to Log in using Admin-Valid credentials),Chrome 99.0.4844.82,User should be able to Log in using Admin/Valid credentials,,2022-03-24 16:02:22,2022-03-24 16:02:37,15.067s,PASSED
"openBrowser("""")",Chrome 99.0.4844.82,,,2022-03-24 16:02:23,2022-03-24 16:02:26,3.492s,PASSED
"navigateToUrl(""https://nexterus-tst.outsystemsenterprise.com/FusionCenter/Login"")",Chrome 99.0.4844.82,,,2022-03-24 16:02:26,2022-03-24 16:02:29,3.011s,PASSED
maximizeWindow(),Chrome 99.0.4844.82,,,2022-03-24 16:02:29,2022-03-24 16:02:29,0.185s,PASSED
delay(3),Chrome 99.0.4844.82,,,2022-03-24 16:02:29,2022-03-24 16:02:32,3.065s,PASSED
"setText(findTestObject(""Login/Username_Field""), ""admin"")",Chrome 99.0.4844.82,,,2022-03-24 16:02:32,2022-03-24 16:02:34,1.274s,PASSED
delay(1),Chrome 99.0.4844.82,,,2022-03-24 16:02:34,2022-03-24 16:02:35,1.010s,PASSED
"setText(findTestObject(""Login/Password_Field""), ""admin"")",Chrome 99.0.4844.82,,,2022-03-24 16:02:35,2022-03-24 16:02:35,0.760s,PASSED
delay(1),Chrome 99.0.4844.82,,,2022-03-24 16:02:35,2022-03-24 16:02:36,1.016s,PASSED
"click(findTestObject(""Login/BTN_Login""))",Chrome 99.0.4844.82,,,2022-03-24 16:02:36,2022-03-24 16:02:37,0.649s,PASSED
,,,,,,,
Test Cases/Sprint 7/FCSCMS- 468/FCSCMS-1788-S7 (User should be able to clicks Clients option from the left navigation panel),Chrome 99.0.4844.82,User should be able to clicks Clients option from the left navigation panel,,2022-03-24 16:02:37,2022-03-24 16:02:47,10.225s,PASSED
delay(2),Chrome 99.0.4844.82,,,2022-03-24 16:02:38,2022-03-24 16:02:40,2.012s,PASSED
"click(findTestObject(""Admin/Sprint 5/a_Clients""))",Chrome 99.0.4844.82,,,2022-03-24 16:02:40,2022-03-24 16:02:44,3.579s,PASSED
delay(2),Chrome 99.0.4844.82,,,2022-03-24 16:02:44,2022-03-24 16:02:46,2.016s,PASSED
"verifyElementVisible(findTestObject(""Admin/Sprint 5/Clients/SearchBar_Clients""))",Chrome 99.0.4844.82,,,2022-03-24 16:02:46,2022-03-24 16:02:46,0.407s,PASSED
delay(1),Chrome 99.0.4844.82,,,2022-03-24 16:02:46,2022-03-24 16:02:47,1.018s,PASSED
,,,,,,,
Test Cases/Sprint 7/FCSCMS- 468/FCSCMS-1789-S7 (User should be able to search clients),Chrome 99.0.4844.82,User should be able to search clients,,2022-03-24 16:02:47,2022-03-24 16:02:55,7.561s,PASSED
"setText(findTestObject(""Admin/Sprint 5/FCSCMS-194/SearchBar(Clients)""), ""Smoke Test 3"")",Chrome 99.0.4844.82,,,2022-03-24 16:02:48,2022-03-24 16:02:48,0.776s,PASSED
delay(1),Chrome 99.0.4844.82,,,2022-03-24 16:02:48,2022-03-24 16:02:49,1.013s,PASSED
"click(findTestObject(""Admin/Sprint 5/FCSCMS-194/SearchButton(Clients)""))",Chrome 99.0.4844.82,,,2022-03-24 16:02:49,2022-03-24 16:02:53,3.420s,PASSED
